studio,domestic_gross,foreign_gross,total_gross
Uni.,100200000.0,74600000.0,174800000.0
Fox,37500000.0,136400000.0,173900000.0
Sony,80400000.0,89500000.0,169900000.0
BV,88600000.0,76600000.0,165200000.0
Rela.,79200000.0,82600000.0,161800000.0
Uni.,8300000.0,151800000.0,160100000.0
WB (NL),42600000.0,115300000.0,157900000.0
Uni.,78000000.0,74900000.0,152900000.0
SPC,56800000.0,94300000.0,151100000.0
WB,64000000.0,86400000.0,150400000.0
BV,55100000.0,94800000.0,149900000.0
Sony,74200000.0,75500000.0,149700000.0
SGem,55800000.0,93700000.0,149500000.0
Par.,70700000.0,78600000.0,149300000.0
Sony,46500000.0,101000000.0,147500000.0
Sum.,54700000.0,92600000.0,147300000.0
WB,84400000.0,58500000.0,142900000.0
WB (NL),54500000.0,87500000.0,142000000.0
WB,75700000.0,59800000.0,135500000.0
Wein.,44700000.0,88800000.0,133500000.0
Sum.,20400000.0,111900000.0,132300000.0
WB,63700000.0,67099999.0,130799999.0
Uni.,62500000.0,65400000.0,127900000.0
Fox,75600000.0,44500000.0,120100000.0
Fox,58700000.0,58400000.0,117100000.0
Wein.,30000000.0,84900000.0,114900000.0
Sony,75600000.0,34600000.0,110200000.0
Uni.,23200000.0,85400000.0,108600000.0
Par.,73000000.0,26000000.0,99000000.0
Uni.,37400000.0,60600000.0,98000000.0
W/Dim.,38200000.0,59000000.0,97200000.0
FD,54000000.0,43000000.0,97000000.0
WB (NL),33000000.0,63000000.0,96000000.0
WB,72300000.0,23100000.0,95400000.0
Rela.,24800000.0,66800000.0,91600000.0
WB,36400000.0,53400000.0,89800000.0
WB,37700000.0,51500000.0,89200000.0
W/Dim.,38500000.0,47000000.0,85500000.0
WB,37300000.0,47600000.0,84900000.0
WB (NL),45100000.0,38100000.0,83200000.0
Fox,37900000.0,44800000.0,82700000.0
LGF,28100000.0,54000000.0,82100000.0
Focus,24100000.0,56500000.0,80600000.0
SGem,29100000.0,49200000.0,78300000.0
FD,35100000.0,41100000.0,76200000.0
CBS,29100000.0,47000000.0,76100000.0
Sony,41000000.0,35000000.0,76000000.0
Uni.,37100000.0,38400000.0,75500000.0
LGF,58000000.0,17000000.0,75000000.0
Fox,52700000.0,19700000.0,72400000.0
Uni.,35600000.0,36400000.0,72000000.0
Uni.,48500000.0,21200000.0,69700000.0
Sum.,21400000.0,43200000.0,64600000.0
Focus,40300000.0,23500000.0,63800000.0
Par.,51800000.0,11700000.0,63500000.0
